Year,Gebietseinheit,Kategorien,GeoCode,Value
2013,Ammerland,Fälle,K03451,517
2014,Ammerland,Fälle,K03451,387
2015,Ammerland,Fälle,K03451,244
2016,Ammerland,Fälle,K03451,320
2017,Ammerland,Fälle,K03451,313
2018,Ammerland,Fälle,K03451,344
2019,Ammerland,Fälle,K03451,250
1991,Aurich,Fälle,K03452,819
1992,Aurich,Fälle,K03452,972
1993,Aurich,Fälle,K03452,1338
1994,Aurich,Fälle,K03452,1300
1995,Aurich,Fälle,K03452,905
1996,Aurich,Fälle,K03452,1174
1997,Aurich,Fälle,K03452,1091
1998,Aurich,Fälle,K03452,1324
1999,Aurich,Fälle,K03452,1328
2000,Aurich,Fälle,K03452,812
2001,Aurich,Fälle,K03452,643
2002,Aurich,Fälle,K03452,722
2003,Aurich,Fälle,K03452,738
2004,Aurich,Fälle,K03452,527
2005,Aurich,Fälle,K03452,572
2006,Aurich,Fälle,K03452,398
2007,Aurich,Fälle,K03452,427
2008,Aurich,Fälle,K03452,372
2009,Aurich,Fälle,K03452,362
2010,Aurich,Fälle,K03452,509
2011,Aurich,Fälle,K03452,472
2012,Aurich,Fälle,K03452,624
2013,Aurich,Fälle,K03452,662
2014,Aurich,Fälle,K03452,593
2015,Aurich,Fälle,K03452,635
2016,Aurich,Fälle,K03452,471
2017,Aurich,Fälle,K03452,451
2018,Aurich,Fälle,K03452,481
2019,Aurich,Fälle,K03452,501
